Q1,Q2,Q3,Q4,Q21,Q22,Q23,College,Degree
1,1,1,1,4,1,1,HP,MSN
1,1,1,1,4,1,1,BU,MISI
2,2,2,2,,,,BU,BS
2,2,2,2,,,,BU,BS
2,2,2,1,4,2,2,ED,BS
4,4,2,4,2,3,1,KE,BFA
4,4,3,4,,,,KE,BFA
1,2,2,2,3,1,1,TE,BS
1,2,1,1,1,3,3,AS,BS
4,2,2,1,2,1,1,BU,BS
1,2,1,1,3,2,2,KE,MA
1,1,1,1,4,1,1,HP,MSN
1,1,1,2,3,2,1,ED,BS
2,2,2,2,1,2,1,HP,CERT
1,2,1,1,,,,BU,BS
1,1,1,2,4,1,1,ED,BS
2,2,2,2,2,2,3,PH,PD
2,3,4,4,1,4,1,BU,BS
1,1,1,1,3,1,2,BU,BS
2,2,2,3,2,2,1,TE,BS
1,1,1,1,4,1,1,HP,AAS
2,2,2,1,2,1,1,TE,BS
2,3,2,2,2,2,4,ED,BS
1,3,2,2,1,2,1,HP,BS
2,2,3,3,2,2,2,TE,BS
2,2,2,3,,,,BU,BS
1,1,1,1,2,2,1,TE,BS
1,1,1,2,3,1,1,HP,BS
2,2,3,3,4,2,3,ED,BS
1,2,3,2,2,2,2,BU,BS
2,2,1,2,2,1,4,HP,BS
1,1,1,1,4,1,1,BU,BS
2,3,3,3,1,4,2,BU,BS
1,2,1,1,1,1,3,ED,BS
2,2,4,2,2,3,1,ED,BS
1,1,1,2,3,2,1,TE,BS
1,1,1,1,3,1,1,HP,AAS
2,3,3,3,3,3,3,TE,BS
1,1,1,1,3,1,2,CP,EDD
2,2,2,4,2,2,2,BU,BS
1,1,1,1,3,2,2,ED,BS
2,2,1,3,2,2,2,PH,PD
2,3,4,4,2,3,4,KE,BFA
1,1,1,1,1,1,1,TE,BS
3,4,2,2,,,,KE,BFA
2,2,2,2,2,2,3,ED,BS
2,3,2,4,3,3,3,BU,BS
2,2,3,2,2,1,1,PH,PD
2,2,2,2,3,2,3,TE,BS
1,1,1,3,4,1,1,HP,BS
1,2,2,2,2,2,2,BU,BS
2,2,2,2,2,1,2,PH,PD
1,2,2,2,2,2,1,HP,BS
2,1,2,1,1,2,1,TE,BS
3,3,3,4,1,3,2,ED,BS
2,2,2,3,2,2,4,ED,BS
2,2,1,1,2,2,1,BU,BS
2,3,2,2,1,3,4,ED,BS
1,2,2,1,4,1,1,TE,BS
2,2,2,4,1,2,2,TE,CERT
2,2,3,4,1,4,2,AS,BS
1,2,2,2,4,1,2,AS,BS
1,1,1,1,4,1,2,ED,BS
2,2,2,3,4,2,1,HP,BS
1,2,1,2,3,1,1,BU,BS
1,1,3,1,2,3,2,KE,BFA
2,2,2,2,2,3,1,ED,BS
1,1,1,2,2,2,1,ED,MSCJ
1,2,1,1,2,1,1,BU,BS
1,1,1,1,4,1,1,HP,BS
1,1,1,1,4,2,1,HP,BS
1,2,1,1,3,1,2,BU,BS
2,3,3,4,2,3,3,ED,BS
1,1,1,1,2,1,2,BU,AAS
2,1,2,2,2,1,1,HP,AAS
1,1,1,1,4,1,2,ED,BS
2,2,2,2,2,2,3,TE,AAS
,1,1,2,4,1,1,PH,PD
1,1,1,1,3,1,1,OP,OD
2,2,3,2,3,1,1,ED,BS
3,3,2,2,2,2,2,AS,BS
2,2,2,2,3,3,1,ED,BS
1,1,2,2,2,1,2,ED,AAS
1,1,1,2,2,2,1,AS,BS
1,2,2,2,2,2,1,ED,BS
1,1,1,1,,,,ED,MED
1,1,1,1,3,1,1,PH,PD
1,1,1,1,3,2,2,HP,BSN
2,1,2,2,2,2,1,TE,BS
1,1,1,2,3,1,1,KE,BFA
2,2,2,3,2,2,3,PH,PD
2,2,3,3,1,3,1,BU,BS
1,1,1,2,4,2,2,BU,BS
1,2,2,1,2,1,2,BU,BS
1,1,2,2,3,1,1,ED,BS
2,2,2,3,2,2,3,AS,BSW
2,2,3,2,3,3,4,KE,BFA
1,1,1,1,4,1,1,ED,BS
1,1,1,1,4,1,1,OP,OD
2,2,2,1,2,2,2,HP,BS
2,2,2,2,3,2,3,AS,BSW
1,1,1,2,1,3,4,PH,PD
1,1,1,1,2,1,1,ED,BS
1,2,1,2,3,1,2,AS,BSW
1,1,2,2,3,1,1,TE,BS
2,2,2,2,,,,KE,BFA
1,1,1,1,4,1,2,BU,AAS
1,2,2,2,2,2,2,BU,BS
2,2,2,2,1,3,1,ED,BS
1,1,2,2,3,2,2,TE,BS
2,2,2,3,2,2,2,TE,BS
2,3,2,3,2,2,3,TE,BS
1,2,2,3,3,2,2,BU,BS
2,2,2,3,3,2,2,TE,BS
2,2,1,2,2,3,3,HP,AAS
2,1,1,1,1,2,1,BU,BS
1,2,1,2,2,1,1,ED,AA
1,1,1,1,4,1,1,ED,MSCJ
1,1,1,1,3,1,3,BU,BS
1,1,1,2,,,,TE,AAS
2,3,2,3,1,3,3,HP,AAS
1,2,2,2,2,1,1,ED,BS
2,2,1,3,3,2,1,BU,AAS
1,1,2,2,2,1,2,PH,PD
1,1,1,1,4,2,1,TE,BS
1,1,1,1,4,1,1,ED,MTE
2,2,2,2,1,2,4,ED,AA
1,1,1,1,4,1,1,ED,BS
1,2,2,2,1,1,2,KE,BFA
1,1,2,2,4,1,2,BU,MISI
1,1,1,1,2,1,1,HP,BS
1,2,2,3,2,2,1,TE,BS
1,2,2,2,3,2,2,TE,AAS
1,1,2,3,4,2,1,TE,AAS
1,2,2,2,,,,BU,BS
1,1,1,1,4,1,1,BU,BS
1,1,1,1,4,1,1,BU,MBA
2,2,3,2,2,2,2,ED,BS
1,1,2,2,3,4,1,HP,BS
1,2,2,2,4,1,2,AS,BSW
1,1,2,1,4,1,1,TE,BS
1,1,1,1,3,2,2,ED,BS
2,2,2,2,2,1,1,KE,BFA
1,1,1,1,3,1,1,HP,BS
1,1,1,1,3,1,3,BU,MBA
1,2,2,3,1,2,4,AS,BA
1,2,1,1,3,1,2,HP,AAS
2,1,2,2,3,2,2,ED,BS
2,2,3,2,3,3,3,BU,CERT
2,1,2,2,2,2,2,HP,AAS
1,1,1,1,1,2,1,HP,AAS
1,1,1,1,4,1,1,HP,BS
1,1,1,2,4,1,1,HP,BS
2,2,3,1,1,3,2,HP,BSN
2,1,2,2,3,2,3,BU,BS
2,3,3,2,2,3,1,HP,BS
1,2,2,1,3,1,1,HP,BS
1,1,2,1,2,1,2,OP,OD
1,1,1,1,3,2,2,HP,BSN
1,1,2,4,3,3,1,AS,BS
1,1,1,1,4,1,1,AS,BS
1,1,1,1,2,1,1,HP,AAS
1,1,2,2,4,1,1,ED,BS
1,1,1,1,4,1,1,TE,BS
2,2,2,2,3,2,1,HP,BS
2,2,2,2,2,3,3,BU,BS
2,2,2,3,3,2,2,HP,BSN
1,2,2,3,2,2,2,HP,BS
1,2,1,1,3,1,1,ED,BS
2,2,2,2,3,2,1,HP,BSN
1,1,2,1,3,1,2,BU,BS
4,4,4,4,1,4,2,AS,BA
2,2,2,3,1,3,2,HP,BS
1,1,1,1,2,2,1,TE,BS
3,2,2,,3,3,,KE,MA
3,4,4,4,1,3,4,AS,BA
1,1,1,1,3,1,1,AS,BS
1,1,1,1,4,1,1,HP,MSN
1,1,2,1,3,1,1,TE,AAS
4,4,,4,1,4,2,TE,BS
1,1,1,1,2,1,2,HP,MSN
1,3,3,1,2,2,2,HP,BS
,2,3,3,2,3,2,BU,BS
2,2,2,4,3,2,2,TE,BS
1,1,1,2,3,3,1,HP,CERT
1,1,2,2,4,1,1,TE,BS
1,1,1,1,3,1,1,HP,BS
1,1,2,1,4,4,4,ED,BS
1,1,1,2,2,2,1,HP,AAS
1,1,1,1,4,1,1,HP,BS
1,3,1,2,3,2,2,HP,BS
1,1,1,1,4,1,1,TE,AAS
1,1,1,2,4,1,1,HP,BS
2,3,2,1,2,1,4,BU,BS
1,1,1,1,2,1,1,TE,BAS
1,2,2,2,3,2,4,BU,BS
1,1,2,4,3,3,2,ED,BS
1,1,1,1,4,1,1,PH,PD
1,2,4,3,3,3,1,TE,BS
2,4,3,4,3,4,3,ED,BS
1,2,2,1,3,1,1,HP,BS
2,2,2,2,3,2,2,HP,BS
1,1,2,2,2,2,1,TE,BS
1,1,1,1,3,1,1,HP,BS
1,1,,2,2,1,1,PH,PD
2,2,3,1,2,1,2,BU,BS
2,2,2,3,1,2,1,HP,AAS
1,2,2,2,4,1,1,HP,BS
2,2,3,1,2,1,1,HP,BS
2,4,3,3,1,4,2,KE,MFA
2,3,2,2,4,2,2,AS,BA
1,1,1,3,4,1,1,HP,MSN
2,2,2,1,2,2,2,HP,BS
1,1,2,1,3,2,1,PH,PD
2,3,2,2,3,2,1,AS,BSW
2,2,2,2,1,2,2,BU,BS
1,1,1,1,1,4,1,ED,BS
1,1,1,1,4,1,1,ED,BS
1,1,1,1,4,1,3,BU,BS
1,1,1,2,,,,HP,BSN
1,2,2,2,3,1,1,TE,BS
1,1,1,1,3,1,1,AS,BS
1,1,1,1,2,2,2,HP,BS
1,1,1,1,3,2,1,HP,BS
1,2,2,2,2,2,2,KE,BS
2,2,2,2,1,2,1,AS,BSW
2,2,2,3,1,3,2,BU,BS
2,1,2,2,3,2,2,ED,MTE
,2,1,1,3,2,1,KE,BFA
1,1,2,1,3,1,1,TE,BS
2,4,4,4,1,4,4,BU,BS
1,2,1,1,2,1,2,BU,BS
1,2,1,2,3,2,1,HP,BS
2,2,1,1,3,1,1,BU,BS
2,2,2,2,2,2,2,AS,BS
4,4,3,3,1,4,1,TE,BS
1,1,2,1,3,1,1,TE,BS
1,2,2,1,3,1,2,ED,BS
1,1,1,1,3,1,,ED,BS
2,1,2,3,1,3,2,HP,BSN
2,2,2,2,3,2,1,KE,BFA
3,2,4,3,2,2,3,AS,BSW
1,1,1,3,3,1,3,AS,BS
1,1,1,1,4,1,1,HP,BS
1,1,1,1,3,1,1,PH,PD
1,1,1,2,4,2,1,HP,BSN
1,1,1,1,4,1,1,HP,BS
1,1,,4,1,1,4,TE,BS
2,2,,2,1,2,1,KE,BFA
1,1,4,2,4,2,1,TE,BS
2,2,1,2,4,2,1,BU,BS
1,1,1,1,2,1,1,AS,BA
1,1,1,2,2,1,2,PH,PD
2,3,1,2,1,2,1,KE,BFA
1,1,2,2,3,2,1,KE,BFA
4,4,4,4,1,4,4,KE,BFA
2,1,2,1,2,2,1,KE,BFA
2,,,2,4,1,1,KE,BFA
1,1,1,2,3,1,1,ED,BS
1,1,1,1,2,1,2,ED,BS
3,2,4,4,1,2,1,BU,BS
1,1,2,2,2,2,1,BU,BS
1,1,1,1,3,1,1,ED,BS
1,2,2,2,3,1,1,BU,BS
1,2,1,2,2,1,1,TE,BS
2,2,2,2,2,2,3,BU,BS
1,1,2,2,2,1,1,TE,BS
3,3,2,4,1,4,3,KE,BFA
1,1,1,1,4,1,3,BU,BS
3,2,4,4,1,3,1,BU,BS
1,1,1,1,4,1,1,BU,BS
1,2,3,2,2,1,1,KE,BFA
2,2,1,1,2,1,2,TE,BS
3,3,3,3,1,2,2,BU,BS
1,1,2,1,3,1,1,ED,BS
1,2,2,2,3,1,3,ED,BS
2,2,2,3,2,2,2,HP,BSN
1,2,1,2,2,1,1,HP,AAS
2,2,2,2,3,1,1,TE,AAS
1,1,2,2,1,2,2,TE,AAS
1,1,1,1,3,1,1,TE,AAS
1,1,1,1,3,2,2,ED,BS
1,1,1,1,1,1,1,TE,BS
1,2,1,1,4,1,1,TE,BS
1,1,2,2,3,1,1,TE,BS
1,1,2,2,3,2,1,TE,BS
1,1,1,2,4,1,1,TE,BS
1,1,1,2,2,1,1,TE,BS
1,1,1,1,3,1,1,TE,BS
1,1,1,1,2,1,1,TE,BS
1,1,1,1,3,1,1,TE,CERT
1,1,1,1,2,1,1,TE,BS
1,1,2,1,2,1,1,TE,BS
1,1,1,1,1,1,1,TE,BS
1,1,2,2,,2,1,TE,BS
1,1,2,1,3,1,1,TE,BS
2,1,1,1,2,2,2,TE,BS
1,1,1,1,3,2,1,TE,BS
1,1,1,2,3,2,2,TE,BS
1,1,1,1,4,1,1,TE,BS
1,1,1,1,4,1,1,TE,BS
1,1,2,2,3,1,1,TE,BS
1,1,2,1,,1,1,TE,BS
1,1,2,2,4,2,1,TE,BS
1,2,2,1,1,2,3,TE,BS
2,2,1,2,2,2,1,TE,BS
1,1,1,2,3,1,1,TE,BS
2,2,2,2,4,1,1,TE,BS
1,1,2,1,2,1,1,TE,BS
1,1,2,2,3,1,1,TE,BS
1,1,1,1,3,1,1,AS,BS
1,1,1,2,3,1,1,TE,BS
1,1,2,3,2,1,1,AS,BS
1,1,1,1,4,1,1,ED,BS
1,1,1,1,4,1,1,TE,BS
1,1,1,1,3,1,1,AS,BS
1,1,1,1,3,1,1,HP,BS
2,2,2,2,3,2,3,HP,BS
1,2,1,1,3,2,2,HP,BS
1,1,3,1,3,1,1,TE,BS
2,2,2,2,2,2,1,ED,BS
2,2,1,2,2,2,2,BU,MISI
1,1,1,1,4,1,1,HP,BS
1,1,1,1,3,1,1,ED,BS
1,1,1,1,4,1,1,OP,OD
1,1,1,1,2,1,2,TE,BS
1,1,2,1,4,1,1,TE,BAS
1,1,1,1,4,1,1,AS,MSW
1,1,1,1,4,1,1,TE,AAS
2,1,1,2,4,2,1,AS,BS
1,1,1,1,3,1,1,ED,BS
3,4,2,2,1,2,1,BU,BS
1,1,1,1,4,1,1,HP,BS
1,2,1,2,1,2,1,HP,BS
3,1,2,2,3,2,4,HP,BS
1,1,1,1,4,1,1,BU,BS
1,1,1,2,3,2,1,PH,PD
1,2,2,2,2,2,2,AS,BS
1,1,1,1,3,4,4,KE,BFA
2,2,2,2,2,2,2,HP,BSN
2,2,3,2,1,2,3,HP,BSN
1,1,3,1,3,1,1,HP,BS
1,1,1,1,3,2,1,ED,BS
1,1,2,2,2,1,2,HP,BS
1,1,1,1,4,1,1,PH,PD
1,1,,1,3,2,2,PH,PD
2,2,1,1,3,1,1,BU,BS
1,1,1,1,4,1,1,AS,BS
1,1,2,3,1,2,2,PH,PD
2,2,2,1,3,1,3,ED,BS
1,1,1,2,3,1,1,PH,PD
1,1,1,1,4,1,1,OP,OD
1,1,2,1,4,2,1,BU,BS
1,1,1,3,2,1,1,BU,AAS
1,2,2,1,3,1,1,HP,BS
1,2,3,3,4,1,1,HP,CERT
1,1,1,1,3,1,1,TE,BS
2,2,1,2,2,2,1,PH,PD
2,2,3,2,3,2,2,HP,BS
1,1,1,1,4,1,2,PH,PD
2,1,1,3,3,2,1,TE,AAS
4,4,4,4,1,4,1,BU,BS
1,1,1,1,4,1,2,HP,CERT
1,1,1,1,2,1,1,ED,BS
1,2,2,1,4,3,3,ED,BS
1,2,2,2,2,2,2,TE,BAS
2,2,2,2,2,2,1,BU,BS
1,1,2,2,2,2,2,HP,AAS
2,2,2,3,2,2,3,ED,MED
1,1,2,2,2,2,1,KE,BFA
1,1,2,1,1,1,1,TE,BS
1,3,1,2,1,2,1,KE,BFA
2,4,3,2,2,2,4,AS,BS
1,1,1,3,2,1,3,HP,AAS
2,3,2,3,1,2,1,HP,BS
1,1,1,1,3,1,1,TE,BS
2,2,,3,1,2,4,HP,BS
1,1,2,2,3,1,1,TE,AAS
3,3,3,2,2,4,2,KE,BFA
1,1,1,1,4,1,2,HP,BS
2,2,2,3,1,4,3,BU,BS
2,1,2,1,3,1,1,TE,AAS
1,2,2,2,2,2,1,HP,AAS
1,1,1,1,4,1,1,PH,PD
2,2,2,3,2,3,1,TE,BS
1,1,1,1,2,1,1,TE,BS
1,1,1,1,4,1,1,KE,BFA
1,2,1,2,3,2,1,HP,BSN
